,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v81579284350322,2,shape,age2,1579284485817.0,2020-01-17T18:08:05.817Z,1,0.0,9.195,18.324,0.03164859693877551,"(9, 207, 31, 147)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age2_cdm_run_v81579284350322.png
1,cdm_run_v81579284350322,3,this square,age2,1579284506531.0,2020-01-17T18:08:26.531Z,10,6.634,6.665,14.274,0.016442123724489797,"(25, 129, 76, 189)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age2_cdm_run_v81579284350322.png
2,cdm_run_v81579284350322,4,a duck,age2,1579284529276.0,2020-01-17T18:08:49.276Z,3,5.322,5.464,16.44,0.01678093112244898,"(54, 127, 73, 163)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a duck_sketch_age2_cdm_run_v81579284350322.png
3,cdm_run_v81579284350322,5,a crocodile,age2,1579284547811.0,2020-01-17T18:09:07.811Z,2,1.644,2.625,11.023,0.012854751275510204,"(112, 177, 128, 175)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age2_cdm_run_v81579284350322.png
4,cdm_run_v81579284350322,6,a lion,age2,1579284566838.0,2020-01-17T18:09:26.838Z,8,5.535,5.963,12.216,0.021544164540816327,"(31, 159, 118, 175)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a lion_sketch_age2_cdm_run_v81579284350322.png
5,cdm_run_v81579284350322,7,a monkey,age2,1579284588512.0,2020-01-17T18:09:48.512Z,4,8.711,8.859,15.268,0.04193239795918367,"(115, 219, 116, 199)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a monkey_sketch_age2_cdm_run_v81579284350322.png
6,cdm_run_v81579284350322,8,a crab,age2,1579284609116.0,2020-01-17T18:10:09.116Z,1,0.0,1.926,13.969,0.04569913903061224,"(48, 219, 125, 213)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age2_cdm_run_v81579284350322.png
7,cdm_run_v81579284350322,9,a panda,age2,1579284638629.0,2020-01-17T18:10:38.629Z,7,12.317,12.889,22.591,0.06399473852040816,"(37, 216, 49, 192)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a panda_sketch_age2_cdm_run_v81579284350322.png
8,cdm_run_v81579284350322,10,a giraffe,age2,1579284666147.0,2020-01-17T18:11:06.147Z,11,14.695,15.773,20.479,0.033900669642857144,"(45, 211, 88, 145)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a giraffe_sketch_age2_cdm_run_v81579284350322.png
9,cdm_run_v81579284350322,11,a truck,age2,1579284694680.0,2020-01-17T18:11:34.680Z,10,15.293,15.883,22.123,0.05903220663265306,"(52, 163, 31, 219)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a truck_sketch_age2_cdm_run_v81579284350322.png
